acct_nbr,rtxn_nbr,cust_cd,tran_amt,post_dt,data_dt,cust_type,mjaccttypcd,rtxnsourcecd,accttypcd,term_cd,branch_acct,currencycd,miaccttypcd,mjmidesc,branch_thgd,is_cash,created_at,intrtxndesctext,mcc
652fedf8-fdfe-4,1,e381f175-b53b-4f0b-bc3e-045e90a18ad7,1139246,20240123,20240131,CN,CK,ONLI,TGTT,KKH,1033,VND,G270,TKTT FIRST KHTN (CN) VND,1003,0,20240115,BOOK PHONG AGODA,7311
9be4aca3-8cff-4,2,cdb0c33d-6f4f-4dc5-b948-943ae235cbb2,-2975053,20240131,20240131,CN,SAV,MAPP,TGTT,KKH,1025,VND,G270,TKTT FIRST KHTN (CN) VND,1031,0,20240125,THANH TOAN XANH SM,5411
71e702c0-412a-4,3,35e8a709-5a2b-431d-a980-c85437ee2c45,-3897115,20240129,20240131,CN,SAV,ONLI,TGTT,KKH,1014,VND,G270,TKTT FIRST KHTN (CN) VND,1004,0,20240126,XEM PHIM CGV,5812
330a2b36-c5f4-4,4,70ff12f2-c1ee-457c-83b6-0188240d62ff,3598996,20240116,20240131,CN,SAV,ONLI,TGTT,KKH,1020,VND,G270,TKTT FIRST KHTN (CN) VND,1048,0,20240126,BOOK PHONG AGODA,7311
9d4359c5-f325-4,5,d7a24870-89e6-445f-ad1f-9d0fdb131e24,-2653125,20240119,20240131,CN,CK,ONLI,TGTT,KKH,1016,VND,G270,TKTT FIRST KHTN (CN) VND,1015,0,20240124,MUA TREN SHOPEE,4121
3dcd7477-5479-4,6,d8a6ac60-5284-4cc9-b445-b830035baa0b,-4799175,20240115,20240131,CN,SAV,MAPP,TGTT,KKH,1046,VND,G270,TKTT FIRST KHTN (CN) VND,1026,0,20240118,CUOC GRAB,4121
ed7b5ae9-60fc-4,7,579c85bd-21c2-4768-a0d7-66116f1bec7a,1429021,20240114,20240131,CN,CK,BRANCH,TGTT,KKH,1019,VND,G270,TKTT FIRST KHTN (CN) VND,1011,0,20240106,MUA TREN SHOPEE,4722
aa212e17-3e5a-4,8,cfe7344f-4481-45be-a9ca-ecf3a133e07a,-3471146,20240105,20240131,CN,SAV,ONLI,TGTT,KKH,1047,VND,G270,TKTT FIRST KHTN (CN) VND,1000,0,20240120,XEM PHIM CGV,5411
89289b21-3557-4,9,37ea9335-4065-48b2-8781-33f7a98e0b35,4909698,20240107,20240131,CN,SAV,WWW,TGTT,KKH,1007,VND,G270,TKTT FIRST KHTN (CN) VND,1001,0,20240119,BOOK PHONG AGODA,4900
70524c84-dd55-4,10,704b7705-698e-4694-87f1-005d3bd9644d,3697308,20240103,20240131,CN,CK,MAPP,TGTT,KKH,1006,VND,G270,TKTT FIRST KHTN (CN) VND,1007,0,20240128,THANH TOAN XANH SM,5812
